time_sec,Davao,Legazpi,Dapa_virtual
0.0,0.0,0.0,0.0
12.0,2.601384e-18,0.0,0.0
24.0,2.294509e-15,0.0,0.0
36.0,1.2639819e-13,0.0,0.0
48.0,2.213466e-12,0.0,0.0
60.0,2.0642278e-11,0.0,0.0
72.0,1.291623e-10,0.0,0.0
84.0,6.1353994e-10,0.0,0.0
96.0,2.3817148e-09,0.0,0.0
108.0,7.922959e-09,0.0,0.0
120.0,2.3327415e-08,0.0,0.0
132.0,6.220095e-08,0.0,0.0
144.0,1.5275974e-07,0.0,0.0
156.0,3.4998175e-07,0.0,0.0
168.0,7.554362e-07,0.0,0.0
180.0,1.5483015e-06,0.0,0.0
192.0,3.032094e-06,0.0,0.0
204.0,5.702712e-06,0.0,0.0
216.0,1.0344487e-05,0.0,0.0
228.0,1.8161913e-05,0.0,0.0
240.0,3.0955453e-05,0.0,0.0
252.0,5.1350187e-05,0.0,0.0
264.0,8.3085826e-05,0.0,0.0
276.0,0.00013137553,0.0,0.0
288.0,0.00020333928,0.0,0.0
300.0,0.00030642556,0.0,0.0
